Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Philadelphia, PA metro area	Dec-24	$280K	0.00%	12.00%	1,706	10.60%	8.60%	1,326	-30.60%	1.00%	5,144	-12.80%	0.10%	45	3	0	97.20%	-0.30%	-0.20%
Philadelphia, PA metro area	Jan-25	$263K	-5.90%	1.30%	1,320	-22.60%	6.50%	1,856	40.00%	4.90%	5,125	-0.40%	1.50%	53	8	1	97.70%	0.40%	0.30%
Philadelphia, PA metro area	Feb-25	$274K	3.80%	7.70%	1,224	-7.30%	-3.80%	2,068	11.40%	-4.80%	5,389	5.20%	2.70%	57	4	4	97.70%	0.00%	0.50%
Philadelphia, PA metro area	Mar-25	$285K	4.20%	5.60%	1,544	26.10%	-6.30%	2,579	24.70%	5.10%	5,644	4.70%	4.90%	45	-12	2	98.50%	0.90%	0.40%
Philadelphia, PA metro area	Apr-25	$287K	0.80%	4.50%	1,740	12.70%	-5.20%	2,844	10.30%	3.90%	6,138	8.80%	8.10%	40	-5	2	98.70%	0.20%	0.10%
Philadelphia, PA metro area	May-25	$310K	7.90%	10.70%	1,958	12.50%	-6.80%	2,703	-5.00%	0.30%	6,403	4.30%	10.40%	36	-4	-1	98.60%	-0.10%	-0.50%
Philadelphia, PA metro area	Jun-25	$315K	1.60%	4.30%	2,126	8.60%	11.30%	2,407	-11.00%	1.10%	6,321	-1.30%	7.30%	39	3	3	99.10%	0.40%	-0.20%
Philadelphia, PA metro area	Jul-25	$300K	-4.80%	0.00%	1,862	-12.40%	-4.80%	2,409	0.10%	5.00%	6,355	0.50%	8.70%	41	2	6	98.60%	-0.40%	-0.40%
Philadelphia, PA metro area	Aug-25	$299K	-0.30%	0.70%	1,709	-8.20%	-7.20%	2,023	-16.00%	-9.50%	6,030	-5.10%	3.10%	42	1	1	98.50%	-0.10%	0.00%
Seattle, WA metro area	Jan-12	$254K	-4.30%	-10.80%	1,906	-29.50%	15.20%	2,820	48.10%	-16.20%	10,491	-3.80%	-27.00%	70	0	-22	97.40%	-0.20%	0.60%
Seattle, WA metro area	Feb-12	$260K	2.30%	-10.30%	2,284	19.80%	26.80%	3,485	23.60%	-5.50%	10,091	-3.80%	-30.60%	77	7	-14	97.70%	0.30%	0.80%
Seattle, WA metro area	Mar-12	$272K	4.70%	-6.10%	2,955	29.40%	10.40%	4,133	18.60%	-7.20%	9,676	-4.10%	-34.20%	71	-6	-20	98.00%	0.30%	1.00%
Seattle, WA metro area	Apr-12	$290K	6.50%	0.00%	3,148	6.50%	18.80%	4,280	3.60%	-4.70%	9,593	-0.90%	-35.90%	50	-21	-20	98.40%	0.40%	1.10%
Seattle, WA metro area	May-12	$299K	3.10%	6.80%	3,563	13.20%	24.50%	4,483	4.70%	3.10%	9,548	-0.50%	-36.50%	37	-13	-22	99.00%	0.60%	1.50%
Seattle, WA metro area	Jun-12	$310K	3.70%	8.40%	3,730	4.70%	14.10%	4,209	-6.10%	-5.70%	9,477	-0.70%	-37.70%	33	-4	-19	99.00%	0.00%	1.60%
Seattle, WA metro area	Jul-12	$310K	0.00%	8.80%	3,593	-3.70%	30.20%	3,921	-6.80%	-1.10%	9,330	-1.60%	-37.90%	29	-4	-26	99.20%	0.10%	1.70%
Seattle, WA metro area	Aug-12	$312K	0.60%	9.50%	3,774	5.00%	21.30%	3,973	1.30%	1.70%	9,324	-0.10%	-36.50%	31	2	-25	99.00%	-0.20%	1.50%
Seattle, WA metro area	Sep-12	$313K	0.30%	13.80%	3,092	-18.10%	11.30%	3,678	-7.40%	3.90%	9,125	-2.10%	-35.80%	28	-3	-30	99.10%	0.10%	1.60%
Seattle, WA metro area	Oct-12	$310K	-1.10%	20.20%	3,361	8.70%	28.60%	3,238	-12.00%	4.70%	8,117	-11.00%	-38.60%	33	5	-24	99.30%	0.20%	1.70%
Seattle, WA metro area	Nov-12	$320K	3.30%	17.80%	3,136	-6.70%	22.30%	2,488	-23.20%	-5.40%	7,167	-11.70%	-41.50%	34	1	-29	99.00%	-0.30%	1.50%
Seattle, WA metro area	Dec-12	$310K	-3.00%	16.70%	3,095	-1.30%	14.50%	1,785	-28.30%	-6.30%	6,355	-11.30%	-41.70%	39	5	-31	99.00%	0.00%	1.40%
Seattle, WA metro area	Jan-13	$290K	-6.50%	14.10%	2,282	-26.30%	19.70%	3,259	82.60%	15.60%	6,210	-2.30%	-40.80%	41	2	-29	99.20%	0.20%	1.80%
Seattle, WA metro area	Feb-13	$310K	6.70%	19.00%	2,443	7.10%	7.00%	3,702	13.60%	6.20%	6,285	1.20%	-37.70%	40	-1	-37	99.50%	0.40%	1.90%
Seattle, WA metro area	Mar-13	$324K	4.70%	19.00%	3,359	37.50%	13.70%	4,425	19.50%	7.10%	6,203	-1.30%	-35.90%	24	-16	-47	100.00%	0.50%	2.00%
Seattle, WA metro area	Apr-13	$329K	1.50%	13.40%	3,797	13.00%	20.60%	4,878	10.20%	14.00%	6,634	6.90%	-30.80%	16	-8	-34	100.50%	0.50%	2.10%
Seattle, WA metro area	May-13	$349K	6.00%	16.70%	4,322	13.80%	21.30%	5,640	15.60%	25.80%	7,587	14.40%	-20.50%	12	-4	-25	100.90%	0.30%	1.90%
Seattle, WA metro area	Jun-13	$350K	0.30%	12.90%	4,148	-4.00%	11.20%	5,310	-5.90%	26.20%	8,281	9.10%	-12.60%	12	0	-21	100.80%	0.00%	1.80%
Seattle, WA metro area	Jul-13	$363K	3.70%	17.00%	4,502	8.50%	25.30%	5,239	-1.30%	33.60%	8,999	8.70%	-3.50%	12	0	-17	100.80%	0.00%	1.60%
Seattle, WA metro area	Aug-13	$355K	-2.20%	13.80%	4,351	-3.40%	15.30%	4,881	-6.80%	22.90%	9,496	5.50%	1.80%	15	3	-16	100.30%	-0.50%	1.30%
Seattle, WA metro area	Sep-13	$354K	-0.30%	13.00%	3,674	-15.60%	18.80%	4,244	-13.10%	15.40%	9,583	0.90%	5.00%	18	3	-10	100.10%	-0.30%	1.00%
Seattle, WA metro area	Oct-13	$350K	-1.10%	13.10%	3,807	3.60%	13.30%	3,775	-11.10%	16.60%	8,999	-6.10%	10.90%	22	4	-11	99.70%	-0.40%	0.40%
Seattle, WA metro area	Nov-13	$344K	-1.70%	7.70%	3,000	-21.20%	-4.30%	2,558	-32.20%	2.80%	7,930	-11.90%	10.60%	27	5	-7	99.40%	-0.30%	0.50%
Seattle, WA metro area	Dec-13	$350K	1.70%	12.90%	3,128	4.30%	1.10%	1,793	-29.90%	0.40%	6,978	-12.00%	9.80%	36	9	-3	99.20%	-0.30%	0.20%
Seattle, WA metro area	Jan-14	$330K	-5.70%	13.80%	2,192	-29.90%	-3.90%	3,181	77.40%	-2.40%	6,834	-2.10%	10.00%	46	10	5	99.00%	-0.20%	-0.20%
Seattle, WA metro area	Feb-14	$348K	5.50%	12.50%	2,461	12.30%	0.70%	3,438	8.10%	-7.10%	6,869	0.50%	9.30%	41	-5	1	99.60%	0.60%	0.10%
Seattle, WA metro area	Mar-14	$343K	-1.50%	5.80%	3,257	32.30%	-3.00%	4,382	27.50%	-1.00%	6,856	-0.20%	10.50%	24	-17	0	99.90%	0.30%	-0.10%
Seattle, WA metro area	Apr-14	$355K	3.50%	7.90%	3,741	14.90%	-1.50%	5,010	14.30%	2.70%	7,119	3.80%	7.30%	16	-8	0	100.40%	0.50%	-0.10%
Seattle, WA metro area	May-14	$365K	2.80%	4.60%	3,993	6.70%	-7.60%	5,957	18.90%	5.60%	7,841	10.10%	3.30%	13	-3	1	100.40%	-0.10%	-0.50%
Seattle, WA metro area	Jun-14	$385K	5.50%	10.00%	4,381	9.70%	5.60%	5,318	-10.70%	0.20%	8,603	9.70%	3.90%	13	0	1	100.40%	0.00%	-0.50%
Seattle, WA metro area	Jul-14	$379K	-1.60%	4.50%	4,401	0.50%	-2.20%	5,303	-0.30%	1.20%	9,780	13.70%	8.70%	14	1	2	100.00%	-0.30%	-0.80%
Seattle, WA metro area	Aug-14	$371K	-2.20%	4.40%	4,097	-6.90%	-5.80%	4,554	-14.10%	-6.70%	9,817	0.40%	3.40%	18	4	3	99.70%	-0.30%	-0.60%
Seattle, WA metro area	Sep-14	$380K	2.60%	7.40%	3,786	-7.60%	3.00%	4,241	-6.90%	-0.10%	9,618	-2.00%	0.40%	22	4	4	99.40%	-0.30%	-0.70%
Seattle, WA metro area	Oct-14	$368K	-3.10%	5.20%	4,005	5.80%	5.20%	3,825	-9.80%	1.30%	8,886	-7.60%	-1.30%	29	7	7	99.30%	-0.20%	-0.40%
Seattle, WA metro area	Nov-14	$375K	1.80%	9.00%	3,104	-22.50%	3.50%	2,402	-37.20%	-6.10%	7,591	-14.60%	-4.30%	32	3	5	99.00%	-0.30%	-0.40%
Seattle, WA metro area	Dec-14	$367K	-2.30%	4.70%	3,424	10.30%	9.50%	1,796	-25.20%	0.20%	6,402	-15.70%	-8.30%	39	7	3	99.20%	0.20%	0.00%
Seattle, WA metro area	Jan-15	$360K	-1.80%	9.10%	2,290	-33.10%	4.50%	3,218	79.20%	1.20%	6,129	-4.30%	-10.30%	44	5	-2	99.10%	0.00%	0.10%
Seattle, WA metro area	Feb-15	$358K	-0.60%	2.80%	2,616	14.20%	6.30%	3,923	21.90%	14.10%	6,142	0.20%	-10.60%	41	-3	0	99.70%	0.60%	0.10%
Seattle, WA metro area	Mar-15	$385K	7.50%	12.30%	3,849	47.10%	18.20%	5,129	30.70%	17.00%	6,203	1.00%	-9.50%	18	-23	-6	100.50%	0.80%	0.60%
Seattle, WA metro area	Apr-15	$400K	3.90%	12.70%	4,389	14.00%	17.30%	5,718	11.50%	14.10%	6,666	7.50%	-6.40%	11	-7	-5	101.00%	0.50%	0.60%
Seattle, WA metro area	May-15	$396K	-0.90%	8.60%	4,614	5.10%	15.60%	5,838	2.10%	-2.00%	7,159	7.40%	-8.70%	9	-2	-4	101.30%	0.30%	1.00%
Seattle, WA metro area	Jun-15	$415K	4.70%	7.80%	5,195	12.60%	18.60%	5,675	-2.80%	6.70%	7,490	4.60%	-12.90%	10	1	-3	101.40%	0.10%	1.00%
Seattle, WA metro area	Jul-15	$410K	-1.20%	8.20%	5,211	0.30%	18.40%	5,327	-6.10%	0.50%	7,674	2.50%	-21.50%	11	1	-3	101.20%	-0.20%	1.10%
Seattle, WA metro area	Aug-15	$413K	0.60%	11.30%	4,705	-9.70%	14.80%	4,806	-9.80%	5.50%	7,676	0.00%	-21.80%	14	3	-4	100.80%	-0.40%	1.10%
Seattle, WA metro area	Sep-15	$400K	-3.00%	5.30%	4,383	-6.80%	15.80%	4,352	-9.40%	2.60%	7,386	-3.80%	-23.20%	14	0	-8	100.50%	-0.20%	1.10%
Seattle, WA metro area	Oct-15	$405K	1.30%	10.00%	4,075	-7.00%	1.70%	3,869	-11.10%	1.20%	6,716	-9.10%	-24.40%	16	2	-13	100.40%	-0.10%	1.10%
Seattle, WA metro area	Nov-15	$405K	0.00%	8.00%	3,165	-22.30%	2.00%	2,426	-37.30%	1.00%	5,372	-20.00%	-29.20%	18	2	-14	100.30%	-0.10%	1.30%
Seattle, WA metro area	Dec-15	$400K	-1.20%	9.10%	3,851	21.70%	12.50%	1,863	-23.20%	3.70%	4,425	-17.60%	-30.90%	24	6	-15	100.00%	-0.30%	0.80%
Seattle, WA metro area	Jan-16	$408K	2.00%	13.40%	2,358	-38.80%	3.00%	3,247	74.30%	0.90%	4,484	1.30%	-26.80%	25	1	-19	100.20%	0.20%	1.00%
Seattle, WA metro area	Feb-16	$405K	-0.80%	13.10%	2,787	18.20%	6.50%	3,908	20.40%	-0.40%	4,531	1.00%	-26.20%	15	-10	-26	101.20%	1.10%	1.50%
Seattle, WA metro area	Mar-16	$424K	4.70%	10.10%	3,997	43.40%	3.80%	5,329	36.40%	3.90%	4,837	6.80%	-22.00%	9	-6	-9	102.20%	1.00%	1.70%
Seattle, WA metro area	Apr-16	$430K	1.40%	7.50%	4,218	5.50%	-3.90%	5,946	11.60%	4.00%	5,576	15.30%	-16.40%	8	-1	-3	102.70%	0.50%	1.70%
Seattle, WA metro area	May-16	$440K	2.30%	11.00%	4,846	14.90%	5.00%	6,052	1.80%	3.70%	5,748	3.10%	-19.70%	8	0	-1	103.10%	0.30%	1.70%
Seattle, WA metro area	Jun-16	$463K	5.20%	11.60%	5,594	15.40%	7.70%	6,418	6.00%	13.10%	6,524	13.50%	-12.90%	8	0	-2	102.60%	-0.40%	1.20%
Seattle, WA metro area	Jul-16	$450K	-2.80%	9.80%	5,185	-7.30%	-0.50%	5,918	-7.80%	11.10%	7,065	8.30%	-7.90%	9	1	-2	102.00%	-0.60%	0.90%
Seattle, WA metro area	Aug-16	$450K	0.00%	9.10%	5,349	3.20%	13.70%	5,439	-8.10%	13.20%	7,011	-0.80%	-8.70%	11	2	-3	101.40%	-0.60%	0.70%
Seattle, WA metro area	Sep-16	$450K	0.00%	12.50%	4,857	-9.20%	10.80%	5,269	-3.10%	21.10%	7,210	2.80%	-2.40%	12	1	-2	101.00%	-0.50%	0.40%
Seattle, WA metro area	Oct-16	$442K	-1.80%	9.10%	4,511	-7.10%	10.70%	3,608	-31.50%	-6.70%	6,001	-16.80%	-10.60%	14	2	-2	100.90%	-0.10%	0.50%
Seattle, WA metro area	Nov-16	$455K	2.90%	12.30%	4,158	-7.80%	31.40%	2,705	-25.00%	11.50%	4,774	-20.40%	-11.10%	16	2	-2	100.50%	-0.30%	0.20%
Seattle, WA metro area	Dec-16	$460K	1.10%	15.00%	3,884	-6.60%	0.90%	1,839	-32.00%	-1.30%	3,527	-26.10%	-20.30%	20	4	-4	100.60%	0.00%	0.60%
Seattle, WA metro area	Jan-17	$445K	-3.30%	9.00%	2,907	-25.20%	23.30%	3,089	68.00%	-4.90%	3,264	-7.50%	-27.20%	27	7	2	100.70%	0.10%	0.50%
Seattle, WA metro area	Feb-17	$460K	3.40%	13.60%	2,863	-1.50%	2.70%	3,383	9.50%	-13.40%	3,060	-6.30%	-32.50%	12	-15	-3	102.10%	1.40%	0.90%
Seattle, WA metro area	Mar-17	$483K	5.00%	13.90%	4,060	41.80%	1.60%	5,133	51.70%	-3.70%	3,521	15.10%	-27.20%	8	-4	-1	103.30%	1.20%	1.10%
Seattle, WA metro area	Apr-17	$500K	3.50%	16.30%	3,845	-5.30%	-8.80%	5,030	-2.00%	-15.40%	3,790	7.60%	-32.00%	7	-1	-1	104.30%	1.00%	1.60%
Seattle, WA metro area	May-17	$510K	2.00%	15.90%	5,083	32.20%	4.90%	6,350	26.20%	4.90%	4,398	16.00%	-23.50%	7	0	-1	104.70%	0.30%	1.60%
Seattle, WA metro area	Jun-17	$525K	2.90%	13.30%	5,576	9.70%	-0.30%	6,552	3.20%	2.10%	5,181	17.80%	-20.60%	7	0	-1	104.40%	-0.30%	1.80%
Seattle, WA metro area	Jul-17	$530K	1.00%	17.80%	4,977	-10.70%	-4.00%	5,712	-12.80%	-3.50%	5,680	9.60%	-19.60%	8	1	-1	103.40%	-1.00%	1.40%
Seattle, WA metro area	Aug-17	$520K	-1.90%	15.60%	5,426	9.00%	1.40%	5,457	-4.50%	0.30%	5,640	-0.70%	-19.60%	9	1	-2	102.50%	-0.90%	1.10%
Seattle, WA metro area	Sep-17	$510K	-1.90%	13.30%	4,759	-12.30%	-2.00%	5,032	-7.80%	-4.50%	5,935	5.20%	-17.70%	11	2	-1	101.80%	-0.70%	0.90%
Seattle, WA metro area	Oct-17	$512K	0.40%	15.90%	4,643	-2.40%	2.90%	4,082	-18.90%	13.10%	4,978	-16.10%	-17.00%	11	0	-3	101.60%	-0.30%	0.70%
Seattle, WA metro area	Nov-17	$525K	2.50%	15.40%	4,145	-10.70%	-0.30%	2,848	-30.20%	5.30%	3,726	-25.20%	-22.00%	13	2	-3	101.20%	-0.40%	0.70%
Seattle, WA metro area	Dec-17	$530K	0.90%	15.20%	3,907	-5.70%	0.60%	1,663	-41.60%	-9.60%	2,568	-31.10%	-27.20%	16	3	-4	101.00%	-0.20%	0.50%
Seattle, WA metro area	Jan-18	$514K	-2.90%	15.60%	2,535	-35.10%	-12.80%	3,162	90.10%	2.40%	2,566	-0.10%	-21.40%	17	1	-10	101.30%	0.30%	0.70%
Seattle, WA metro area	Feb-18	$530K	3.00%	15.20%	2,890	14.00%	0.90%	3,529	11.60%	4.30%	2,689	4.80%	-12.10%	8	-9	-4	103.50%	2.20%	1.40%
Seattle, WA metro area	Mar-18	$560K	5.60%	15.80%	3,821	32.20%	-5.90%	5,265	49.20%	2.60%	3,275	21.80%	-7.00%	7	-1	-1	103.90%	0.40%	0.60%
Seattle, WA metro area	Apr-18	$580K	3.70%	16.00%	4,232	10.80%	10.10%	5,450	3.50%	8.30%	4,041	23.40%	6.60%	7	0	0	104.50%	0.60%	0.20%
Seattle, WA metro area	May-18	$585K	0.90%	14.70%	4,870	15.10%	-4.20%	6,990	28.30%	10.10%	5,438	34.60%	23.60%	7	0	0	104.10%	-0.50%	-0.60%
Seattle, WA metro area	Jun-18	$583K	-0.30%	11.10%	5,096	4.60%	-8.60%	6,397	-8.50%	-2.40%	6,666	22.60%	28.70%	7	0	0	102.70%	-1.40%	-1.70%
Seattle, WA metro area	Jul-18	$575K	-1.40%	8.50%	4,788	-6.00%	-3.80%	5,580	-12.80%	-2.30%	7,497	12.50%	32.00%	9	2	1	101.30%	-1.40%	-2.10%
Seattle, WA metro area	Aug-18	$550K	-4.30%	5.80%	4,523	-5.50%	-16.60%	5,328	-4.50%	-2.40%	8,364	11.60%	48.30%	12	3	3	100.30%	-1.00%	-2.20%
Seattle, WA metro area	Sep-18	$545K	-0.90%	6.90%	3,523	-22.10%	-26.00%	5,090	-4.50%	1.20%	9,190	9.90%	54.80%	17	5	6	99.60%	-0.70%	-2.20%
Seattle, WA metro area	Oct-18	$550K	0.90%	7.40%	3,833	8.80%	-17.40%	3,976	-21.90%	-2.60%	8,565	-6.80%	72.10%	22	5	11	99.20%	-0.40%	-2.40%
Seattle, WA metro area	Nov-18	$550K	0.00%	4.80%	3,388	-11.60%	-18.30%	2,665	-33.00%	-6.40%	7,231	-15.60%	94.10%	28	6	15	98.80%	-0.30%	-2.40%
Seattle, WA metro area	Dec-18	$538K	-2.20%	1.50%	3,131	-7.60%	-19.90%	1,326	-50.20%	-20.30%	5,501	-23.90%	114.20%	40	12	24	98.60%	-0.30%	-2.40%
Seattle, WA metro area	Jan-19	$520K	-3.30%	1.10%	2,331	-25.60%	-8.00%	3,232	143.70%	2.20%	5,278	-4.10%	105.70%	48	8	31	98.40%	-0.20%	-2.90%
Seattle, WA metro area	Feb-19	$545K	4.80%	2.80%	2,850	22.30%	-1.40%	3,059	-5.40%	-13.30%	5,268	-0.20%	95.90%	39	-9	31	99.10%	0.70%	-4.40%
Seattle, WA metro area	Mar-19	$560K	2.80%	0.10%	3,329	16.80%	-12.90%	5,341	74.60%	1.40%	5,841	10.90%	78.40%	20	-19	13	99.80%	0.70%	-4.20%
Seattle, WA metro area	Apr-19	$570K	1.80%	-1.70%	4,179	25.50%	-1.30%	5,671	6.20%	4.10%	6,337	8.50%	56.80%	10	-10	3	100.40%	0.60%	-4.10%
Seattle, WA metro area	May-19	$590K	3.50%	0.90%	4,888	17.00%	0.40%	7,035	24.10%	0.60%	7,897	24.60%	45.20%	9	-1	2	100.40%	0.00%	-3.70%
Seattle, WA metro area	Jun-19	$580K	-1.70%	-0.50%	4,804	-1.70%	-5.70%	5,546	-21.20%	-13.30%	8,143	3.10%	22.20%	11	2	4	100.30%	-0.10%	-2.40%
Seattle, WA metro area	Jul-19	$561K	-3.20%	-2.40%	4,804	0.00%	0.30%	4,878	-12.00%	-12.60%	7,871	-3.30%	5.00%	14	3	5	99.90%	-0.40%	-1.40%
Seattle, WA metro area	Aug-19	$560K	-0.30%	1.80%	4,600	-4.20%	1.70%	4,447	-8.80%	-16.50%	7,612	-3.30%	-9.00%	19	5	7	99.60%	-0.30%	-0.70%
Seattle, WA metro area	Sep-19	$540K	-3.60%	-0.90%	3,837	-16.60%	8.90%	4,474	0.60%	-12.10%	7,547	-0.90%	-17.90%	22	3	5	99.50%	-0.10%	-0.10%
Seattle, WA metro area	Oct-19	$560K	3.70%	1.80%	4,104	7.00%	7.10%	3,783	-15.40%	-4.90%	6,632	-12.10%	-22.60%	20	-2	-2	99.40%	0.00%	0.30%
Seattle, WA metro area	Nov-19	$555K	-0.90%	0.90%	3,584	-12.70%	5.80%	2,347	-38.00%	-11.90%	4,961	-25.20%	-31.40%	24	4	-4	99.40%	-0.10%	0.60%
Seattle, WA metro area	Dec-19	$570K	2.70%	5.90%	3,732	4.10%	19.20%	1,595	-32.00%	20.30%	3,571	-28.00%	-35.10%	32	8	-8	99.30%	-0.10%	0.70%
Seattle, WA metro area	Jan-20	$550K	-3.50%	5.80%	2,496	-33.10%	7.10%	3,191	100.10%	-1.30%	3,427	-4.00%	-35.10%	39	7	-9	99.40%	0.10%	1.00%
Seattle, WA metro area	Feb-20	$575K	4.50%	5.50%	2,981	19.40%	4.60%	4,007	25.60%	31.00%	3,614	5.50%	-31.40%	17	-22	-22	100.60%	1.20%	1.50%
Seattle, WA metro area	Mar-20	$593K	3.00%	5.80%	3,791	27.20%	13.90%	5,165	28.90%	-3.30%	4,646	28.60%	-20.50%	7	-10	-13	101.80%	1.10%	2.00%
Seattle, WA metro area	Apr-20	$600K	1.30%	5.20%	3,039	-19.80%	-27.30%	3,725	-27.90%	-34.30%	5,079	9.30%	-19.90%	6	-1	-4	101.50%	-0.30%	1.10%
Seattle, WA metro area	May-20	$584K	-2.70%	-1.00%	3,040	0.00%	-37.80%	4,743	27.30%	-32.60%	5,163	1.70%	-34.60%	10	4	1	100.40%	-1.00%	0.10%
Seattle, WA metro area	Jun-20	$615K	5.30%	6.00%	4,413	45.20%	-8.10%	5,283	11.40%	-4.70%	5,064	-1.90%	-37.80%	9	-1	-2	100.80%	0.40%	0.50%
Seattle, WA metro area	Jul-20	$621K	1.10%	10.70%	5,046	14.30%	5.00%	6,067	14.80%	24.40%	5,444	7.50%	-30.80%	8	-1	-6	101.20%	0.40%	1.30%
Seattle, WA metro area	Aug-20	$630K	1.40%	12.50%	5,018	-0.60%	9.10%	5,991	-1.30%	34.70%	5,469	0.50%	-28.20%	7	-1	-12	101.40%	0.20%	1.80%
Seattle, WA metro area	Sep-20	$640K	1.60%	18.50%	5,335	6.30%	39.00%	5,708	-4.70%	27.60%	5,254	-3.90%	-30.40%	7	0	-15	101.60%	0.20%	2.10%
Seattle, WA metro area	Oct-20	$635K	-0.80%	13.40%	5,608	5.10%	36.60%	5,203	-8.80%	37.50%	4,985	-5.10%	-24.80%	7	0	-13	101.70%	0.10%	2.20%
Seattle, WA metro area	Nov-20	$630K	-0.80%	13.50%	4,496	-19.80%	25.40%	3,011	-42.10%	28.30%	3,704	-25.70%	-25.30%	7	0	-17	101.60%	0.00%	2.30%
Seattle, WA metro area	Dec-20	$625K	-0.80%	9.70%	4,445	-1.10%	19.10%	2,496	-17.10%	56.50%	2,719	-26.60%	-23.90%	10	3	-22	101.60%	-0.10%	2.30%
Seattle, WA metro area	Jan-21	$626K	0.20%	13.80%	2,890	-35.00%	15.80%	3,415	36.80%	7.00%	2,549	-6.30%	-25.60%	10	0	-29	101.90%	0.30%	2.50%
Seattle, WA metro area	Feb-21	$655K	4.60%	13.90%	3,169	9.70%	6.30%	3,819	11.80%	-4.70%	2,496	-2.10%	-30.90%	6	-4	-11	104.10%	2.30%	3.50%
Seattle, WA metro area	Mar-21	$700K	6.90%	18.10%	4,486	41.60%	18.30%	5,559	45.60%	7.60%	2,487	-0.40%	-46.50%	6	0	-1	106.40%	2.30%	4.60%
Seattle, WA metro area	Apr-21	$720K	2.90%	20.00%	5,024	12.00%	65.30%	6,259	12.60%	68.00%	3,211	29.10%	-36.80%	6	0	0	107.50%	1.10%	6.00%
Seattle, WA metro area	May-21	$740K	2.80%	26.70%	5,234	4.20%	72.20%	5,852	-6.50%	23.40%	2,905	-9.50%	-43.70%	6	0	-4	107.60%	0.10%	7.20%
Seattle, WA metro area	Jun-21	$741K	0.20%	20.50%	6,097	16.50%	38.20%	6,530	11.60%	23.60%	3,283	13.00%	-35.20%	6	0	-3	107.10%	-0.50%	6.30%
Seattle, WA metro area	Jul-21	$750K	1.20%	20.70%	5,713	-6.30%	13.20%	6,047	-7.40%	-0.30%	3,924	19.50%	-27.90%	6	0	-2	105.80%	-1.30%	4.60%
Seattle, WA metro area	Aug-21	$730K	-2.70%	15.90%	5,443	-4.70%	8.50%	5,322	-12.00%	-11.20%	3,467	-11.60%	-36.60%	6	0	-1	104.50%	-1.30%	3.10%
Seattle, WA metro area	Sep-21	$715K	-2.10%	11.70%	5,344	-1.80%	0.20%	5,409	1.60%	-5.20%	3,533	1.90%	-32.80%	7	1	0	103.70%	-0.80%	2.10%
Seattle, WA metro area	Oct-21	$726K	1.50%	14.30%	4,963	-7.10%	-11.50%	4,213	-22.10%	-19.00%	2,763	-21.80%	-44.60%	7	0	0	103.80%	0.10%	2.10%
Seattle, WA metro area	Nov-21	$720K	-0.80%	14.30%	4,551	-8.30%	1.20%	2,901	-31.10%	-3.70%	1,731	-37.40%	-53.30%	7	0	0	104.10%	0.30%	2.40%
Seattle, WA metro area	Dec-21	$730K	1.40%	16.80%	3,854	-15.30%	-13.30%	2,000	-31.10%	-19.90%	1,204	-30.40%	-55.70%	7	0	-3	104.30%	0.20%	2.70%
Seattle, WA metro area	Jan-22	$720K	-1.40%	15.00%	2,282	-40.80%	-21.00%	2,836	41.80%	-17.00%	1,272	5.60%	-50.10%	7	0	-3	105.00%	0.80%	3.20%
Seattle, WA metro area	Feb-22	$751K	4.30%	14.70%	2,719	19.10%	-14.20%	3,957	39.50%	3.60%	1,607	26.30%	-35.60%	5	-2	-1	108.60%	3.60%	4.50%
Seattle, WA metro area	Mar-22	$825K	9.90%	17.90%	4,442	63.40%	-1.00%	5,727	44.70%	3.00%	2,281	41.90%	-8.30%	5	0	-1	110.70%	2.10%	4.30%
Seattle, WA metro area	Apr-22	$850K	3.00%	18.10%	4,558	2.60%	-9.30%	5,731	0.10%	-8.40%	3,288	44.10%	2.40%	5	0	-1	109.90%	-0.90%	2.40%
Seattle, WA metro area	May-22	$853K	0.40%	15.30%	4,844	6.30%	-7.50%	6,038	5.40%	3.20%	4,199	27.70%	44.50%	5	0	-1	107.00%	-2.90%	-0.60%
Seattle, WA metro area	Jun-22	$825K	-3.30%	11.30%	4,593	-5.20%	-24.70%	6,255	3.60%	-4.20%	6,109	45.50%	86.10%	6	1	0	102.90%	-4.10%	-4.20%
Seattle, WA metro area	Jul-22	$795K	-3.60%	6.00%	3,570	-22.30%	-37.50%	4,994	-20.20%	-17.40%	6,750	10.50%	72.00%	9	3	3	100.20%	-2.70%	-5.60%
Seattle, WA metro area	Aug-22	$779K	-2.00%	6.80%	3,797	6.40%	-30.20%	4,001	-19.90%	-24.80%	6,183	-8.40%	78.30%	16	7	10	98.90%	-1.30%	-5.60%
Seattle, WA metro area	Sep-22	$765K	-1.90%	7.00%	3,624	-4.60%	-32.20%	4,030	0.70%	-25.50%	6,378	3.20%	80.50%	21	5	14	98.70%	-0.20%	-5.00%
Seattle, WA metro area	Oct-22	$767K	0.30%	5.70%	2,976	-17.90%	-40.00%	2,851	-29.30%	-32.30%	5,792	-9.20%	109.60%	21	0	14	98.50%	-0.20%	-5.20%
